Category,,,,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services
Stat,,,,ASC,ASC,HOPD,HOPD,Annual,Annual,Annual,Annual,Annual,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,ASC,ASC,HOPD,HOPD,Annual,Annual,Annual,Annual,Annual,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall
Year,,,,Mean,%,Mean,%,2015,2016,2017,2018,2019,Mean,Sum,Slope,SlopeSE,Intercept,InterceptSE,R,p,Mean,%,Mean,%,2015,2016,2017,2018,2019,Mean,Sum,Slope,SlopeSE,Intercept,InterceptSE,R,p
Specialty,Group,HCPCS Code,HCPCS Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facial plastics,,11042,Removal of skin and tissue first 20 sq cm or less,756794.67492,0.8929999999999999,90679.76508,0.10699999999999998,509299.24,600263.11,1165644.85,1317431.9,644733.1,847474.4400000001,4237372.2,98803.65099999998,121250.53512188805,-198439489.62699997,244562389.45513687,0.42570684953496757,0.4748214766409027,7156.97982,0.7767,2057.620180000001,0.22330000000000008,5179.0,8266.0,14608.0,11483.0,6537.0,9214.6,46073.0,593.3000000000001,1354.865359854378,-1187471.5,2732764.102549232,0.24511119280203128,0.6910685087738688
Facial plastics,,15004,"Preparation of graft site of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or 1% body area of infants and children)",255840.4753512,0.4398,325879.5686488,0.5602,492031.7,549173.13,607020.35,614663.7,645711.34,581720.044,2908600.2199999997,37284.984999999986,5836.310232738589,-74622094.70099998,11771840.632993234,0.9651559969308269,0.007766814604056904,2554.50688,0.6304,1497.6931200000001,0.36960000000000004,3634.0,3988.0,4310.0,4188.0,4141.0,4052.2,20261.0,121.4,64.40010351958553,-240811.6,129895.04072765824,0.7363653110218576,0.15590869241219818
Facial plastics,,15120,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or less, or 1% body area of infants and children)",267342.8966092,0.7738,78150.63739079998,0.22619999999999996,249466.87,333222.62,322363.94,447454.72,374959.52,345493.534,1727467.67,36521.740000000005,16158.203801961727,-73318856.04600002,32591105.079564147,0.793744556001703,0.10889982291929748,277.39328,0.5872,195.00671999999997,0.41279999999999994,392.0,498.0,466.0,538.0,468.0,472.4,2362.0,19.200000000000003,16.121207564364816,-38254.00000000001,32516.48364998897,0.5665911207555157,0.319304801861004
Facial plastics,,15260,"Relocation of patient skin to nose, ears, eyelids, and/or lips (20 sq centimeters or less)",3427951.7798189996,0.8793,470549.0501810001,0.12070000000000003,3816163.3,4358891.55,3827316.88,3987570.86,3502561.56,3898500.8299999996,19492504.15,-99852.41699999996,98116.01340779132,205300825.91899994,197900047.68803734,-0.5065925680929656,0.3837489408630894,6228.31248,0.8892,776.08752,0.11080000000000001,7255.0,7518.0,7164.0,6646.0,6439.0,7004.4,35022.0,-250.4,75.97885670807814,512061.2,153249.39164942878,-0.8851952346264137,0.04588280054097222
Facial plastics,,15730,Creation of flap graft to midface,111175.58008959999,0.7202,43192.0679104,0.27980000000000005,0.0,0.0,0.0,309666.39,462171.85,154367.648,771838.24,123401.00899999999,35623.56339120418,-248745467.50499997,71852745.02171427,0.8944233719695642,0.040521500966609225,103.59328000000002,0.6286,61.20672,0.37139999999999995,0.0,0.0,0.0,342.0,482.0,164.8,824.0,130.6,37.828208169741984,-263255.4,76299.5146330565,0.8938230711596693,0.04086378241351008
Facial plastics,,20926,Tissue graft,464757.760668,0.8835,61283.84733200003,0.11650000000000005,426939.03,450643.34,585782.18,610737.46,556106.03,526041.608,2630208.04,41842.812,17929.68059025744,-83870910.196,36164174.63982957,0.8030020451247228,0.10180232169175153,580.23936,0.6296,341.36064,0.3704,797.0,865.0,1009.0,954.0,983.0,921.6,4608.0,46.1,18.1980768214666,-92062.09999999999,36705.52997124547,0.8254917413406069,0.08518238752042728
Facial plastics,,30520,Reshaping of nasal cartilage,2123044.2377981995,0.5151,1998571.4442017996,0.4849,3822391.75,3510467.18,3887689.27,4454847.45,4932682.76,4121615.681999999,20608078.409999996,316496.229,97456.5896039937,-634251278.211,196569989.5488446,0.8823508853665517,0.04757736338692427,4228.1984,0.4208,5819.8016,0.5791999999999999,9409.0,9508.0,10270.0,10119.0,10934.0,10048.0,50240.0,366.1,81.43502522461284,-728375.7000000001,164254.48625236994,0.9331388613016729,0.02054425015774813
Facial plastics,,Total,Total,51848351.83678639,0.7070889011501076,21478144.6652136,0.29291109884989225,65214043.230000004,68618626.51000002,72770722.28999999,82196607.36000001,77832483.11999999,73326496.502,366632482.51000005,3881486.062999997,1104660.7984483165,-7755630892.568994,2228101378.1453476,0.8969468376622732,0.03909273584987759,147904.56449999998,0.6628152173913042,75241.4355,0.33718478260869567,186662.0,214501.0,264789.0,239890.0,209888.0,223146.0,1115730.0,7184.1,10132.424688263582,-14267183.700000001,20437105.619739514,0.378840901556953,0.5294448448725095
Facial plastics,A,14040,"Tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",3295972.038578,0.8737,476457.90142199985,0.12629999999999997,4175118.98,3907715.69,3725634.72,3471107.63,3582572.68,3772429.94,18862149.7,-162170.066,39370.08183804578,330869453.062,79409474.58646426,-0.9218205770693826,0.025930625017720848,6107.44758,0.8321,1232.3524200000004,0.16790000000000005,8379.0,7635.0,7356.0,6475.0,6854.0,7339.8,36699.0,-421.0,112.37034009618968,856496.8,226651.031685629,-0.9076938642599753,0.033195048477384685
Facial plastics,A,14041,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",2020339.2792776,0.8563,339043.27272240014,0.14370000000000005,2481173.43,2174377.77,2237142.3,2455397.22,2448822.04,2359382.552,11796912.760000002,21631.666999999994,50511.19177923691,-41271689.786999986,101881098.86145043,0.2400250734436996,0.6973509441527157,3520.26468,0.8406,667.53532,0.1594,4486.0,3871.0,4066.0,4205.0,4311.0,4187.8,20939.0,-1.6,85.55099843563097,7415.0,172556.40625963442,-0.010797145571532512,0.986252914400022
